created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 23 12:22:24 +0000 2024;1749769550965748105;"Gosah ngide bikin-bikin baliho pake duit pribadi ntar lu pada bahas di pemilu 2029 karena sakit hati. Lagian mereka pada kaya, mending uangnya buat bantuin tetangga lu yang masih pada susah itu.";0;0;0;0;in;808887660;1749769550965748105;yagaktauw;https://twitter.com/yagaktauw/status/1749769550965748105
Tue Jan 23 12:22:02 +0000 2024;1749769455574675963;"@Setan666x @Pemb4smiBuzzeRp @pickmenava_win @kalamikan @memelord_666666 Mas, makasih banyak ya udah keluarin waktu nyari beritanya   tapi yang dibahas tetap satu mas, mungkin bisa dibaca lagi ya konteksnya, ini lagi bahas "branding" yang digunakan setiap paslon, kalau 02, brandingnya digunakan "timses" dari baliho dan lainnya, sedangkan lain engga";0;1;0;0;in;1420719491768406023;1749625468310241707;chikimwing;https://twitter.com/chikimwing/status/1749769455574675963
Tue Jan 23 12:20:19 +0000 2024;1749769027151683722;"@scarletoiles Ayo tebak baliho capatu????";0;0;0;0;in;983833077683138565;1749763634824184024;niak_r;https://twitter.com/niak_r/status/1749769027151683722
Tue Jan 23 12:20:11 +0000 2024;1749768992536068283;"@fajarnugros Bukan pasang baliho setiap meter.. ampun dah jalan dari pasar minggu sampai pondok kopi buset poster nampang doang bikin muak aja..nyampah..";0;0;0;0;in;716587560345034752;1749713189699538983;EmyHandayany;https://twitter.com/EmyHandayany/status/1749768992536068283
Tue Jan 23 12:17:09 +0000 2024;1749768228879126922;"Soal yg lebih mumpuni enggak juga. Karena Puan gak ada suara atau lebih banyak Ganjar makanya dia yg naik.  W inget deh dimana² ada billboard/baliho Kepak Sayap Bhinekaan.";0;0;0;1;in;1587765941877645312;1749768228879126922;hadeh_x;https://twitter.com/hadeh_x/status/1749768228879126922
Tue Jan 23 12:16:43 +0000 2024;1749768118719951229;"@RadioElshinta Mestinya yg dikasih warning itu pemilik baliho, supaya tidak memasang seenak wudele dewek... Kok malah masyarakat suruh berhati-hati....";0;0;0;0;in;558763892;1749747783048057186;dipejet;https://twitter.com/dipejet/status/1749768118719951229
Tue Jan 23 12:15:40 +0000 2024;1749767855498055711;"03 memulai gerakan commis artist lokal yang diikuti 01. yang satunya lagi shamelessly pake AI buat dicetak di baliho super gede. miris";0;1;0;1;in;1611547908175953921;1749767855498055711;kangengojo;https://twitter.com/kangengojo/status/1749767855498055711
Tue Jan 23 12:15:14 +0000 2024;1749767746903318815;"@FDonghun KASIHAN KALAU MAU NGASIH YA KASIH AJA NGAK USA DISURUH CIUM BALIHO😿";0;0;0;0;in;1676744369855148033;1749719244747747430;indank1982;https://twitter.com/indank1982/status/1749767746903318815
Tue Jan 23 12:14:23 +0000 2024;1749767530904949059;"@greenbriear pas aku otw tadi sepanjang jalan menuju hall aja ramean baliho banteng 😩";0;0;0;0;in;1297530953607155712;1749719054536028628;stargazinxx_;https://twitter.com/stargazinxx_/status/1749767530904949059
Tue Jan 23 12:14:21 +0000 2024;1749767522679914761;"Anies punya acara #DesakAnies  Gus Imin #SlepetImin  Ganjar punya #GelarTikar Prof Mahfud punya #TabrakMahfud   kenapa paslon 02 g punya?  1. Mereka sudah yakin menang (menurut survei) 2. Kok mau bikin acara, diundang saja banyak g hadirnya. 3. strategi irit dialog banyak Baliho";0;0;0;0;in;428047873;1749767522679914761;Zaenal_Batawara;https://twitter.com/Zaenal_Batawara/status/1749767522679914761
